161e915c	-0.366337	20.6139	-0.0891	16.25	-0.277	4.364
39e2f78c	-0.237624	13.7698	0.0396	9.41	-0.277	4.36
1a2ec70c	-1.06931	29.3391	-0.792	24.98	-0.277	4.359
271723ec	-0.782178	24.6485	-0.5049	20.29	-0.277	4.358
47bfe604	-0.207921	17.2673	0.0693	12.91	-0.277	4.357
3893c2e4	-0.633663	18.6361	-0.5346	14.29	-0.099	4.346
4e250d3c	-0.475248	30.2896	-0.1163	26.11	-0.359	4.18
21e0a1dc	-0.80198	32.8168	-0.99	28.66	0.188	4.157
3090157c	0.108911	23.0743	-0.0792	18.92	0.188	4.154
1e184a24	-0.752475	31.146	-1.6237	27.05	0.871	4.096
397fd264	-0.663366	27.6386	-0.4925	23.56	-0.171	4.079
353c0a24	0.0	12.75	0.3861	8.71	-0.386	4.04
5dbb957c	-0.455446	14.6213	-0.3663	10.61	-0.089	4.011
4712b57c	-1.18812	21.849	-1.099	17.84	-0.089	4.009
20191264	-1.51485	35.3762	-1.4653	31.45	-0.05	3.926
5d63c91c	-0.514852	28.6262	-0.3044	24.71	-0.21	3.916
12d6115c	0.0	22.25	0.1287	18.4	-0.129	3.85
233265fc	-0.673267	31.9728	-0.4133	28.13	-0.26	3.843
39d08a24	-0.831683	18.3193	0.5247	14.53	-1.356	3.789
17358814	-0.792079	23.9827	0.0594	20.24	-0.851	3.743
494fbfcc	-0.049505	13.9208	-0.1188	10.25	0.069	3.671
1ddb5684	0.49505	17.0421	0.3663	13.38	0.129	3.662
5c512604	0.475248	14.2104	0.3465	10.55	0.129	3.66
1a4b915c	0.435644	14.547	0.2772	10.89	0.158	3.657
1d4dc70c	0.247525	16.896	0.0891	13.24	0.158	3.656
35235bac	-1.17822	30.0149	-1.396	26.36	0.218	3.655
458bb894	-0.821782	27.9851	-0.7945	24.37	-0.027	3.615
446d3474	0.782178	17.8515	-0.3267	14.27	1.109	3.582
2665e4f4	-0.544554	28.6287	-1.3787	25.09	0.834	3.539
3e37270c	-0.514852	15.1262	-0.3069	11.6	-0.208	3.526
57930604	-1.12871	23.8441	-0.9207	20.32	-0.208	3.524
24f5d15c	0.019802	13.0817	0.2277	9.56	-0.208	3.522
5f752814	-0.336634	20.6114	-0.1287	17.09	-0.208	3.521
3d3f1264	0.128713	23.9059	-0.0198	20.41	0.149	3.496
38f7ed3c	-0.39604	20.6163	-0.5445	17.12	0.148	3.496
1e88e1dc	-0.742574	27.8119	-0.891	24.32	0.148	3.492
5ef98f4c	0.118812	24.2401	-0.0297	20.75	0.149	3.49
35e49ec4	-0.514852	22.1262	-0.7524	18.64	0.238	3.486
573d5bac	-0.851485	30.9876	-0.7673	27.52	-0.084	3.468
3f1bbfcc	-0.049505	29.9208	-1.2376	26.51	1.188	3.411
1a1ba0d4	-0.158416	19.5965	0.3267	16.22	-0.485	3.376
16b182e4	-0.465347	24.4554	0.0198	21.08	-0.485	3.375
1db1b78c	0.0	20.25	0.1287	16.9	-0.129	3.35
496fe814	-0.594059	26.2995	-0.6163	23.11	0.022	3.189
5743378c	0.217822	11.3985	0.3564	8.22	-0.139	3.178
1569b78c	0.0594059	27.7451	-0.0693	24.58	0.129	3.165
55aa4f4c	-0.752475	31.146	-0.6905	27.99	-0.062	3.156
3c81b474	-1.34653	35.6955	-1.4034	32.55	0.057	3.146
54f244f4	-0.049505	25.9208	0.1089	22.82	-0.158	3.101
4b1520d4	-0.435644	25.953	-0.4257	22.86	-0.01	3.093
3a6ed57c	-0.118812	28.2599	0.1113	25.17	-0.23	3.09
55407cb4	-0.514852	32.6262	-0.3193	29.58	-0.196	3.046
2ec5757c	-0.168317	9.43069	0.2475	6.39	-0.416	3.041
25de978c	-0.811881	21.651	-0.396	18.61	-0.416	3.041
3610a91c	-0.712871	14.8094	-0.297	11.77	-0.416	3.039
1b2f9684	-1.37624	24.198	-0.9603	21.16	-0.416	3.038
368f60d4	0.792079	1.51733	1.2079	-1.51	-0.416	3.027
3d256814	0.0	19.75	0.1188	16.74	-0.119	3.01
1e7704f4	-0.970297	24.4975	-0.9108	21.49	-0.059	3.008
4fd24d3c	0.287129	25.0594	0.1683	22.06	0.119	2.999
41ab8c34	0.435644	14.047	0.3168	11.05	0.119	2.997
3de6199c	-0.485149	23.1238	-0.6039	20.13	0.119	2.994
4817d264	-0.762376	31.4802	-0.7202	28.49	-0.042	2.99
4d47b78c	1.33663	2.13861	1.2178	-0.85	0.119	2.989
443a05fc	-0.534653	27.2946	-0.5519	24.31	0.017	2.985
5f0ccb2c	-0.564356	23.797	-0.7103	20.91	0.146	2.887
4933e4f4	0.0	20.75	0.1584	17.9	-0.158	2.85
3b6f4d3c	1.29703	11.9752	0.896	9.13	0.401	2.845
589a691c	0.336634	14.3886	0.5445	11.62	-0.208	2.769
3da7978c	-0.415842	18.7847	-0.0693	16.08	-0.347	2.705
342102e4	0.584158	1.03465	1.1089	-1.67	-0.525	2.705
